ID_LOTE,ID_FINCA,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,ESPESOR,COLOR_SECO,COLOR_HUMEDO,TEXTURA,RESIST_ROMPIMIENTO,PH_RASTA,CARBOXXTOS_RASTA,PROFUNDIDAD_CARBONATOS,PEDREG_SUPERF_PIEDRAS,PEDREG_SUPERF_ROCAS,PEDREG_PERFIL_PIEDRAS,PEDREG_PERFIL_ROCAS,HOR_PEDREG_ROCOSO_RASTA,HOR_PEDREG_ROCOSO_PROFUNDIDAD_RASTA,HOR_PEDREG_ROCOSO_ESPESOR_RASTA,PROFUND_PRIMERAS_ROCAS_PIEDRAS_RASTA (CM),CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm _RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL__SUELO_RASTA,PROFUND_RAICES_VIVAS_RASTA
1,1,10.3,ONDULADO Y MONTA?OSO,LADERA PLANA,1,17,NA,5,AF,FRIABLE,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,16,"8,9,15",5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,MUY MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
1,1,10.3,ONDULADO Y MONTA?OSO,LADERA PLANA,2,25,NA,5,AF,FRIABLE,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,16,"8,9,15",5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,MUY MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
1,1,10.3,ONDULADO Y MONTA?OSO,LADERA PLANA,3,33,NA,6,AF,FRIABLE,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,16,"8,9,15",5,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,MUY MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,NO,BUENO,70
2,2,7.5,ONDULADO Y MONTA?OSO,PIE DE UNA ELEVACION,1,15,NA,2,FA,FIRME,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,NA,5,5,XX,NA,NA,SI,40,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,SI,REGULAR,45
2,2,7.5,ONDULADO Y MONTA?OSO,PIE DE UNA ELEVACION,2,40,NA,17,FA,FIRME,6,NO TIENE,NA,PEDREGOSO/ROCOSO,PEDREGOSO,PEDREGOSO,NA,SI,NA,5,5,XX,NA,NA,SI,40,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,POCO AFECTADAS,SI,NO,SI,SI,REGULAR,45
3,3,8.2,MONTA?OSO,LADERA PLANA,1,37,NA,2,Far,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,70
3,3,8.2,MONTA?OSO,LADERA PLANA,2,40,NA,35,Ar,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,GRANULAR,NO,NO,POCO MARCADAS,LA MANANA,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,70
4,4,1.9,MONTA?OSO,LADERA PLANA,1,29,NA,14,ArA,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,60
4,4,1.9,MONTA?OSO,LADERA PLANA,2,42,NA,25,ArA,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,60
5,5,9.3,MONTA?OSO,LADERA PLANA,1,23,NA,3,F,FIRME,5,NO TIENE,NA,SIN PIEDRA,SIN PIEDRA,SIN PIEDRA,NA,NO,NA,NA,NA,XX,NA,NA,NO,NA,NO,COLUMNAR,NO,NO,POCO MARCADAS,LA MANANA Y LA LA TARDE,NO HAY,NO HAY,NO,SI,PLANTAS NORMALES,SI,NO,SI,NO,REGULAR,65
